Name;Location;Cuisine;Rating;Seating Capacity;Average Meal Price;Marketing Budget;Social Media Followers;Chef Experience Years;Number of Reviews;Avg Review Length;Ambience Score;Service Quality Score;Parking Availability;Weekend Reservations;Weekday Reservations;Revenue
Restaurant 3109;Downtown;Indian;4.0;87;34.12;6875;70377;18;127;11.386.978.310.603.300;4.5;3.4;No;45;41;689058.03
Restaurant 3110;Rural;French;4.6;46;60.97;4326;47665;12;912;7.533.952.978.374.700;4.4;1.6;Yes;23;1;641371.31
Restaurant 3111;Suburban;American;4.1;58;44.36;3672;41966;8;547;18.041.681.064.038.800;2.7;10.0;Yes;0;33;587974.9
Restaurant 3112;Suburban;American;4.8;69;38.67;4582;55405;5;707;2.662.702.924.388.670;1.8;5.3;Yes;15;53;606579.18
Restaurant 3113;Rural;Japanese;4.3;36;66.56;3301;39928;13;881;1.339.111.864.501.170;9.0;9.8;Yes;4;34;558398.22
Restaurant 3114;Downtown;Indian;4.4;74;33.1;2474;32841;17;544;10.920.039.285.503.400;2.6;5.8;Yes;4;50;565847.05
Restaurant 3115;Downtown;French;4.3;85;64.89;1767;24905;1;970;12.125.955.442.262.500;1.6;9.0;Yes;21;31;1223437.38
Restaurant 3116;Suburban;Italian;3.9;56;46.75;1331;14101;2;75;26.547.179.532.605.900;6.2;5.0;Yes;50;51;588515.3
Restaurant 3117;Suburban;American;4.4;62;38.62;3015;31011;7;758;1.819.518.974.019.490;5.9;6.6;No;10;14;546148.29
Restaurant 3118;Downtown;Italian;3.1;82;50.11;5995;64970;2;705;8.269.758.781.769.360;6.1;5.8;No;32;73;926737.93
Restaurant 3119;Rural;French;4.7;44;64.32;1888;20579;4;505;2.273.054.122.638.650;5.2;3.0;No;14;11;634366.47
Restaurant 3120;Suburban;American;4.6;66;45.31;940;10970;13;126;8.859.223.330.836.230;2.3;7.9;Yes;18;12;676580.54
Restaurant 3121;Downtown;American;3.5;86;39.68;4094;40991;14;363;6.506.110.073.555.910;1.2;1.5;No;62;29;775210.55
Restaurant 3122;Suburban;Indian;4.5;68;40.25;3884;42191;3;401;11.392.121.912.447.900;1.4;4.3;No;46;44;617613.05
Restaurant 3123;Rural;Italian;3.0;39;46.78;1063;8731;9;972;9.202.254.487.919.140;9.5;8.8;No;26;32;424386.27
Restaurant 3124;Downtown;Indian;3.4;71;31.73;3733;43813;18;994;20.124.936.859.366.700;5.8;5.5;Yes;18;69;529558.43
Restaurant 3125;Suburban;Mexican;3.1;63;35.44;763;7190;16;250;17.114.160.183.501.000;4.6;1.7;Yes;54;45;513628.24
Restaurant 3126;Rural;Italian;4.6;32;50.61;1112;19645;19;352;2.310.161.376.232.160;4.7;2.9;Yes;8;31;382802.92
Restaurant 3127;Suburban;Italian;4.5;56;47.04;1966;19692;9;376;17.789.276.256.506.100;6.9;2.0;Yes;7;18;596210.16
Restaurant 3128;Rural;Mexican;4.6;40;30.37;2208;21771;19;172;1.547.514.838.023.460;4.4;3.5;Yes;26;35;295588.32
Restaurant 3129;Rural;French;3.0;46;63.62;2348;23299;6;227;18.155.467.260.943.500;8.2;2.5;No;26;29;660897.93
Restaurant 3130;Downtown;French;4.0;84;64.1;2554;25696;12;351;15.862.152.827.194.400;3.3;7.4;Yes;36;2;1204787.2
Restaurant 3131;Rural;American;4.4;48;44.5;1670;21034;15;57;59.271.723.478.509.800;4.3;6.9;No;44;36;495614.7
Restaurant 3132;Suburban;Japanese;3.3;60;71.27;2911;36106;6;51;22.017.477.824.905.900;9.4;2.2;No;10;45;958481.45
Restaurant 3133;Rural;Indian;4.3;44;39.54;4191;46146;5;195;29.053.258.155.361.300;3.3;5.0;No;10;17;400208.82
Restaurant 3134;Rural;Japanese;3.2;44;70.61;1598;18962;14;597;1.555.083.892.590.110;7.0;3.7;Yes;0;33;706617.19
Restaurant 3135;Downtown;American;3.4;75;41.68;2210;27368;19;649;15.593.324.594.201.100;4.3;4.0;Yes;49;3;715892.76
Restaurant 3136;Rural;Japanese;4.0;44;73.35;1498;23105;18;680;6.144.221.965.931.160;5.2;6.2;No;3;3;735702.95
Restaurant 3137;Rural;Italian;4.3;38;49.68;2933;38077;13;531;27.259.477.117.168.700;1.4;9.1;Yes;0;6;439350.39
Restaurant 3138;Suburban;Italian;3.3;54;45.81;3003;29213;9;91;28.228.034.686.573.200;2.5;9.1;Yes;47;47;567002.35
Restaurant 3139;Downtown;Mexican;3.4;88;28.85;2433;25434;7;407;2.532.847.795.035.350;1.9;4.7;Yes;70;81;576388.75
Restaurant 3140;Downtown;Mexican;3.4;74;31.86;1682;21661;12;700;7.658.636.788.546.410;8.6;4.5;Yes;41;42;542523.59
Restaurant 3141;Downtown;American;3.5;82;37.12;4403;46589;9;620;2.750.559.202.884.840;9.7;5.7;No;72;36;697483.87
Restaurant 3142;Rural;American;3.5;47;36.63;2786;30678;2;741;55.988.915.848.760.200;1.6;5.3;Yes;6;34;391142.69
Restaurant 3143;Downtown;American;3.8;89;38.22;5420;55109;3;763;1.611.435.808.090.770;1.7;1.6;Yes;38;65;765944.13
Restaurant 3144;Rural;Italian;4.3;46;45.35;3927;45642;5;270;17.515.591.352.534.800;6.0;6.2;No;18;45;479525.55
Restaurant 3145;Rural;Japanese;3.9;44;73.18;2345;31820;18;98;25.850.052.525.658.400;5.5;6.3;No;38;4;737440.54
Restaurant 3146;Suburban;Indian;4.6;63;32.85;3525;42468;14;409;23.771.480.336.349.200;6.9;5.1;Yes;59;2;483464.2
Restaurant 3147;Suburban;American;4.4;65;36.37;3637;36159;19;503;24.927.422.412.497.100;7.6;4.7;No;15;34;552928.53
Restaurant 3148;Suburban;American;3.3;53;42.69;1008;10028;5;801;26.697.523.738.934.300;8.2;9.5;No;17;14;514291.62
Restaurant 3149;Suburban;Italian;3.1;66;54.27;787;14927;10;689;16.901.773.012.318.100;2.3;6.4;No;57;26;806577.84
Restaurant 3150;Suburban;Indian;4.8;69;30.22;3442;42759;16;891;24.506.308.837.929.200;1.3;8.3;No;24;68;489317.61
Restaurant 3151;Rural;Italian;3.2;43;47.57;1651;24247;1;847;6.700.827.360.135.970;9.0;9.6;No;30;2;465171.78
Restaurant 3152;Rural;Indian;3.3;47;40.4;1928;23595;4;77;1.611.366.056.876.340;5.2;8.3;Yes;22;10;432105.75
Restaurant 3153;Downtown;Italian;3.0;75;49.24;5280;59321;5;142;5.753.316.871.741.020;9.7;9.5;No;32;38;837983.85
Restaurant 3154;Rural;Japanese;4.3;37;75.32;2676;29853;11;740;2.788.287.663.296.480;5.8;7.8;Yes;33;5;637966.77
Restaurant 3155;Rural;American;4.2;38;38.02;3284;38104;14;266;2.896.034.454.882.300;5.6;2.5;Yes;8;13;342614.06
Restaurant 3156;Suburban;French;5.0;50;57.4;4551;54675;11;533;7.098.476.507.204.060;6.6;3.0;No;18;47;658687.25
Restaurant 3157;Rural;French;4.8;42;57.36;2708;28125;8;588;18.315.666.110.194.000;2.5;2.7;Yes;32;22;547938.97
Restaurant 3158;Suburban;American;3.8;52;35.94;1132;12357;1;688;13.128.490.158.421.700;3.3;3.9;Yes;31;41;420164.25
Restaurant 3159;Downtown;American;3.7;75;44.86;6834;69659;7;147;1.356.335.711.657.190;9.2;4.2;Yes;11;3;765181.49
Restaurant 3160;Downtown;American;3.6;86;45.78;4649;53486;13;357;16.267.501.534.387.100;2.9;8.3;No;77;15;895394.08
Restaurant 3161;Rural;American;3.3;37;45.5;3223;38445;6;467;8.126.649.131.363.760;3.1;4.2;No;12;6;386846.25
Restaurant 3162;Downtown;Indian;3.3;75;39.37;6451;63172;4;977;9.519.254.969.597.810;5.6;7.5;No;73;26;675888.98
Restaurant 3163;Rural;Japanese;3.3;45;74.32;2389;22521;12;349;19.434.216.503.198.600;6.8;9.1;Yes;32;2;760308.03
Restaurant 3164;Downtown;French;3.2;70;62.27;1916;24953;5;949;54.688.977.359.372.000;1.0;2.0;No;27;2;968924.58
Restaurant 3165;Suburban;Mexican;3.5;59;34.09;1238;17867;5;609;19.995.025.550.355.000;5.1;1.0;Yes;20;31;454233.83
Restaurant 3166;Suburban;French;3.6;67;57.29;1470;13721;17;403;12.972.929.694.666.700;4.6;9.0;Yes;20;47;871951.65
Restaurant 3167;Suburban;French;4.9;63;59.27;1513;23984;6;833;25.805.160.370.100.000;8.8;3.1;No;28;3;836670.26
Restaurant 3168;Suburban;Italian;4.2;54;52.05;1662;18603;10;749;20.000.162.693.217.000;8.6;2.4;Yes;40;42;640232.55
Restaurant 3169;Rural;American;5.0;46;44.62;1931;24600;16;864;22.702.280.017.804.200;9.2;3.7;Yes;31;9;479591.18
Restaurant 3170;Downtown;American;3.7;83;42.27;1547;14418;14;159;7.860.629.530.948.630;8.6;2.7;No;14;0;791942.97
Restaurant 3171;Rural;American;3.9;47;44.23;3136;36584;10;892;11.646.559.117.042.200;8.1;8.1;No;21;17;483357.33
Restaurant 3172;Suburban;Italian;3.6;53;50.21;2167;20752;17;576;2.991.674.022.430.090;8.7;6.7;Yes;24;29;615588.7
Restaurant 3173;Rural;Japanese;3.4;49;72.89;841;12313;5;553;15.841.306.172.730.500;2.6;2.5;No;43;27;797818.04
Restaurant 3174;Downtown;Japanese;3.3;71;75.78;5679;59504;2;151;13.971.630.133.105.200;4.1;6.3;No;35;42;1203133.98
Restaurant 3175;Rural;Mexican;4.9;36;26.69;4013;48921;4;655;26.846.383.974.431.800;7.2;2.9;Yes;14;15;230023.52
Restaurant 3176;Downtown;Japanese;5.0;76;75.2;7346;78692;18;233;5.826.865.221.578.370;9.3;2.8;No;15;21;1293805.6
Restaurant 3177;Rural;Japanese;3.1;36;70.75;1147;13431;8;268;18.369.334.041.902.900;7.0;6.4;No;12;29;578321.8
Restaurant 3178;Downtown;American;3.3;82;42.08;6302;68026;14;961;10.256.430.344.648.100;2.9;7.0;Yes;53;40;793312.38
Restaurant 3179;Downtown;Indian;3.8;88;39.66;3776;46119;13;178;14.203.819.786.344.000;9.5;4.1;Yes;43;38;795665.93
Restaurant 3180;Suburban;French;3.4;55;59.51;2689;33604;7;714;99.944.267.967.582;7.8;7.9;No;9;36;741467.6
Restaurant 3181;Downtown;Japanese;3.7;89;69.61;5085;50299;9;369;5.945.568.988.717.690;7.4;8.5;Yes;2;73;1389819.71
Restaurant 3182;Suburban;Japanese;3.3;66;70.8;2691;26807;4;653;15.412.803.349.213.900;7.9;9.2;No;44;24;1047390.45
Restaurant 3183;Suburban;Italian;3.9;67;45.21;2821;35887;5;604;2.473.007.552.987.720;6.9;6.6;Yes;63;10;685650.51
Restaurant 3184;Suburban;Mexican;3.5;50;30.46;2561;30498;15;831;28.798.860.815.672.200;1.2;3.0;Yes;25;22;359097.02
Restaurant 3185;Rural;Indian;3.7;42;33.2;1208;19515;9;531;20.596.324.365.250.300;3.3;7.7;No;16;21;324951.75
Restaurant 3186;Rural;Italian;3.2;48;55.21;2834;32116;18;297;14.720.927.308.818.000;9.6;2.0;Yes;4;19;611888.15
Restaurant 3187;Rural;American;3.9;45;35.97;3298;34080;14;993;24.246.381.838.682.500;3.6;2.6;Yes;35;4;381624.18
Restaurant 3188;Rural;French;5.0;39;60.05;2224;24943;15;117;17.630.599.585.730.500;7.9;8.5;Yes;15;21;543066.0
Restaurant 3189;Downtown;Mexican;3.7;82;35.42;2404;30946;1;319;1.419.050.699.726.650;4.8;9.2;No;56;80;654680.78
Restaurant 3190;Downtown;Italian;4.8;79;54.91;2863;38088;19;769;9.477.242.313.824.360;9.2;1.6;No;66;17;986692.34
Restaurant 3191;Rural;Japanese;4.7;43;72.71;3299;40643;1;960;24.903.249.608.426.400;6.0;3.8;Yes;6;14;700964.92
Restaurant 3192;Downtown;Japanese;4.9;78;71.48;5733;65666;6;787;17.510.644.762.925.400;6.7;6.7;No;47;75;1255898.72
Restaurant 3193;Downtown;Mexican;4.6;90;28.09;6217;64384;8;766;2.909.509.353.277.650;3.2;9.4;No;88;1;584530.61
Restaurant 3194;Suburban;Japanese;4.3;60;69.04;4294;51330;4;706;25.047.740.008.717.900;1.5;6.1;No;58;38;932032.94
Restaurant 3195;Suburban;Italian;4.7;52;45.99;4068;41858;16;141;15.500.402.978.556.900;7.8;8.4;No;36;2;558058.64
Restaurant 3196;Suburban;Italian;3.2;57;53.65;1273;20504;11;997;2.352.125.102.168.640;1.6;9.3;Yes;10;43;693935.1
Restaurant 3197;Suburban;Japanese;3.9;61;68.56;2040;27543;4;699;16.334.787.321.301.700;7.5;5.7;No;6;13;933630.83
Restaurant 3198;Downtown;Japanese;5.0;72;72.35;8574;90658;11;544;6.996.643.210.356.610;6.0;7.7;Yes;21;35;1181198.3
Restaurant 3199;Rural;American;4.5;36;38.93;3532;37094;10;578;1.791.702.628.895.540;8.4;7.0;Yes;11;13;333867.14
Restaurant 3200;Downtown;French;4.9;83;60.11;2376;25821;17;441;2.664.321.548.835.370;2.9;7.0;No;9;22;1122169.93
Restaurant 3201;Downtown;Mexican;4.6;76;31.11;3156;34768;9;563;26.386.032.962.925.400;5.9;5.7;Yes;54;52;543490.9
Restaurant 3202;Downtown;Italian;4.7;76;53.82;3417;34473;10;489;19.374.172.840.999.300;6.5;6.6;No;63;61;926830.91
Restaurant 3203;Suburban;Mexican;4.4;63;27.32;972;13163;8;811;1.450.058.841.037.120;1.7;6.0;Yes;3;6;392768.07
Restaurant 3204;Suburban;American;4.5;61;39.39;2969;36444;14;882;5.252.515.057.759.290;7.7;6.7;Yes;5;56;557853.5
Restaurant 3205;Suburban;Italian;4.0;50;46.43;2954;33909;13;488;12.785.244.473.487.800;4.5;5.5;Yes;5;32;535228.86
Restaurant 3206;Rural;American;4.8;34;35.83;2037;23662;3;680;29.745.214.432.693.300;2.2;3.0;No;17;11;278992.02
Restaurant 3207;Downtown;American;4.7;80;41.65;2046;29356;14;246;2.316.227.583.232.480;4.5;7.2;No;34;50;758085.4
Restaurant 3208;Rural;Indian;4.7;30;32.08;2151;27964;14;404;22.939.714.095.626.500;1.9;4.5;No;7;25;234424.86
Restaurant 3209;Suburban;Japanese;4.3;62;65.66;1853;20964;3;263;24.027.084.758.294.000;9.0;2.1;No;48;23;909097.04
Restaurant 3210;Rural;Indian;3.6;46;39.87;1600;15414;16;156;20.502.834.583.548.600;5.1;8.7;Yes;26;13;429588.01
Restaurant 3211;Downtown;Mexican;3.1;72;30.88;3581;42633;10;257;19.646.466.429.375.100;2.2;2.6;Yes;2;41;508660.83
Restaurant 3212;Downtown;Mexican;4.9;79;26.48;2665;27308;4;678;16.340.481.384.060.300;3.3;5.9;No;5;70;475435.38
Restaurant 3213;Suburban;Japanese;4.2;68;65.59;3468;33885;18;981;16.098.349.841.742.100;7.5;7.5;Yes;28;19;1014207.26
Restaurant 3214;Suburban;Indian;3.6;56;31.32;2836;35736;4;58;2.677.121.138.592.990;8.1;6.8;Yes;44;28;403970.32
Restaurant 3215;Rural;Mexican;3.3;49;30.18;929;11266;2;191;14.836.406.542.419.500;1.4;2.4;No;27;43;332212.98
Restaurant 3216;Suburban;Indian;4.7;52;37.35;3761;38844;11;891;2.600.729.460.169.300;1.5;2.7;No;27;46;450534.05
Restaurant 3217;Suburban;Japanese;4.7;61;72.05;3110;32284;15;583;2.594.336.064.062.340;9.3;2.3;No;54;6;995084.15
Restaurant 3218;Downtown;Italian;4.6;79;46.59;4406;45926;11;833;24.272.454.983.537.700;4.0;1.7;Yes;59;4;833410.06
Restaurant 3219;Suburban;American;4.3;70;41.97;1422;15934;6;730;5.941.059.996.586.150;2.7;3.5;No;59;51;661506.5
Restaurant 3220;Suburban;American;3.7;61;39.45;2680;26060;18;756;8.699.306.110.090.490;2.1;5.7;No;19;12;556970.5
Restaurant 3221;Downtown;Indian;3.6;84;35.11;5948;62539;18;461;12.867.628.554.662.800;5.3;2.6;Yes;15;31;682419.57
Restaurant 3222;Downtown;Mexican;3.0;75;33.82;3334;40945;1;143;26.188.333.556.487.000;7.9;9.7;Yes;23;26;574284.93
Restaurant 3223;Rural;Indian;4.7;48;33.66;3777;38788;13;974;2.683.148.453.390.410;5.7;7.3;Yes;12;1;383324.4
Restaurant 3224;Suburban;Indian;3.2;54;31.62;2811;28862;1;754;6.038.932.358.887.300;1.2;6.3;Yes;31;46;388290.46
Restaurant 3225;Downtown;French;4.3;89;64.61;5507;60690;13;973;1.311.811.382.821.490;5.4;7.1;No;42;76;1299428.49
Restaurant 3226;Rural;American;4.0;31;37.33;1191;16328;5;391;26.259.605.115.951.700;3.8;4.9;No;7;5;266616.23
Restaurant 3227;Rural;Japanese;4.1;50;68.23;1922;21180;17;337;11.242.331.225.880.900;7.1;5.2;No;35;29;779251.22
Restaurant 3228;Suburban;Indian;4.9;68;37.77;3728;43900;16;741;294.000.826.649.283;5.7;9.0;No;10;45;597167.19
Restaurant 3229;Suburban;French;3.1;68;62.52;3078;29957;18;316;17.232.594.164.400.600;9.7;7.5;Yes;12;66;969271.25
Restaurant 3230;Rural;French;4.5;33;63.8;3984;44779;10;971;2.843.281.723.496.020;6.4;6.3;No;28;29;491226.15
Restaurant 3231;Downtown;American;3.1;89;37.02;5450;55126;17;976;15.720.659.859.131.500;6.7;9.6;No;53;58;763699.34
Restaurant 3232;Rural;American;3.1;34;38.88;996;8781;7;581;13.094.973.177.190.700;5.7;7.0;No;28;18;307734.01
Restaurant 3233;Suburban;American;3.9;56;36.38;2952;37856;15;901;14.060.254.380.221.300;3.8;4.6;No;33;49;476470.28
Restaurant 3234;Downtown;Japanese;3.1;73;70.95;3466;38561;19;274;2.710.751.456.326.680;6.7;1.4;No;18;67;1171033.45
Restaurant 3235;Downtown;French;4.6;80;58.22;7033;75983;9;218;13.267.234.657.208.300;4.0;4.5;Yes;79;51;1055617.65
Restaurant 3236;Rural;Mexican;4.1;32;32.58;839;8835;5;372;2.173.365.553.649.270;7.5;9.3;No;9;12;244849.07
Restaurant 3237;Suburban;Japanese;3.1;54;65.0;1373;12575;10;605;16.746.067.053.114.600;3.1;1.4;No;30;8;787308.25
Restaurant 3238;Rural;Italian;3.1;49;45.66;1086;17084;13;749;2.854.177.971.817.110;4.3;2.7;Yes;42;7;512696.0
Restaurant 3239;Rural;Indian;4.2;44;34.76;3400;38799;1;144;8.984.086.801.778.520;6.3;8.3;Yes;26;25;352348.07
Restaurant 3240;Rural;American;4.6;50;45.54;1240;12877;6;411;15.716.420.752.546.000;6.7;4.3;No;48;8;516039.09
Restaurant 3241;Downtown;French;3.9;87;64.8;4774;54965;3;696;8.115.845.297.578.040;7.0;2.7;Yes;13;11;1255340.85
Restaurant 3242;Downtown;Indian;4.1;85;40.93;4478;48693;17;655;19.453.483.549.004.700;7.3;8.3;Yes;73;68;802944.73
Restaurant 3243;Suburban;Japanese;4.6;65;69.59;4335;52189;12;615;15.072.479.783.451.900;3.9;6.0;Yes;62;18;1023472.8
Restaurant 3244;Suburban;Italian;4.2;59;45.51;1692;23884;11;643;6.523.430.812.110.410;9.0;5.9;No;22;22;613505.35
Restaurant 3245;Rural;Japanese;3.4;30;68.37;1087;16579;8;513;26.245.952.744.168.800;1.3;3.6;Yes;6;7;464015.16
Restaurant 3246;Rural;Japanese;4.2;40;72.43;2325;32104;12;830;14.387.869.571.660.900;2.7;7.1;No;17;37;662050.72
Restaurant 3247;Rural;Mexican;4.3;46;26.49;1548;16127;11;850;17.340.768.523.761.500;1.6;8.8;No;3;17;288418.41
Restaurant 3248;Suburban;Indian;4.5;64;33.3;3561;36474;5;696;1.518.783.338.708.940;7.0;7.8;Yes;52;25;490254.1
Restaurant 3249;Downtown;Mexican;4.2;76;25.62;2485;33473;8;719;17.216.316.961.249.100;3.5;6.5;No;56;42;448769.19
Restaurant 3250;Downtown;Japanese;4.9;75;70.22;3519;39351;12;560;540.812.994.170.252;2.8;4.2;No;10;25;1179687.25
Restaurant 3251;Rural;Italian;3.4;44;47.3;2897;34578;6;316;25.386.488.232.699.300;5.3;8.7;Yes;42;40;479367.8
Restaurant 3252;Rural;French;4.9;44;56.0;2010;24082;9;375;13.307.700.298.653.500;6.6;6.1;Yes;39;14;562903.1
Restaurant 3253;Rural;French;4.1;36;59.52;2942;30099;17;838;23.111.544.110.653.500;6.6;9.0;No;12;13;503137.63
Restaurant 3254;Rural;Indian;4.3;32;33.86;3043;35329;2;849;6.622.169.884.528.290;6.0;3.3;No;24;28;253730.55
Restaurant 3255;Suburban;American;3.2;63;40.91;2262;24239;1;182;18.095.631.312.452.200;9.9;6.9;Yes;6;6;579295.14
Restaurant 3256;Downtown;American;3.8;78;43.24;2120;22017;18;411;2.771.979.930.176.840;8.7;9.4;No;5;1;771037.97
Restaurant 3257;Rural;French;4.5;32;56.24;1054;14057;3;398;1.495.620.088.759.210;3.1;4.4;Yes;8;15;405253.29
Restaurant 3258;Suburban;Japanese;4.4;55;73.7;2715;29587;14;596;9.931.475.252.100.760;7.8;9.6;No;31;5;919813.55
Restaurant 3259;Rural;Japanese;3.1;49;65.29;805;6911;13;812;7.477.028.927.877.430;6.1;4.5;No;36;8;724976.8
Restaurant 3260;Rural;Mexican;4.1;38;29.87;3556;35258;2;608;26.477.199.087.202.300;1.6;4.9;No;20;20;263335.84
Restaurant 3261;Downtown;Indian;3.2;70;36.46;3263;34573;4;317;10.970.155.683.990.400;1.4;8.3;Yes;28;6;576278.59
Restaurant 3262;Rural;Mexican;5.0;38;35.53;1647;25078;15;854;2.937.677.778.746.620;8.2;3.3;No;24;31;323817.21
Restaurant 3263;Downtown;American;4.8;81;41.31;6569;68907;5;93;11.195.569.583.197.600;5.9;7.4;No;73;39;762559.66
Restaurant 3264;Downtown;French;3.0;73;56.75;4726;51470;10;327;17.024.774.893.569.900;6.1;3.7;Yes;18;26;934975.75
Restaurant 3265;Downtown;Japanese;4.7;85;70.69;3266;34924;9;188;16.449.853.294.979.100;4.0;6.3;Yes;67;76;1347174.22
Restaurant 3266;Suburban;French;4.8;54;59.35;2392;31861;18;904;6.550.240.484.162.680;9.4;8.0;Yes;28;1;737283.3
Restaurant 3267;Suburban;Italian;3.7;66;50.27;1560;15382;3;360;18.295.985.495.436.100;7.4;1.2;No;4;12;738536.0
Restaurant 3268;Downtown;French;4.4;86;57.17;6178;61767;14;286;21.816.024.492.213.400;9.3;1.8;No;69;3;1113333.37
Restaurant 3269;Rural;Italian;3.9;35;50.51;2387;29953;10;315;23.553.391.582.280.400;1.9;9.4;No;34;3;410386.17
Restaurant 3270;Downtown;Mexican;4.3;84;26.65;8374;86698;17;219;18.064.793.907.773.200;6.3;8.3;Yes;67;25;534339.1
Restaurant 3271;Rural;Mexican;3.7;30;33.18;2446;28740;15;265;25.314.629.128.033.800;6.7;8.9;Yes;14;22;247623.08
Restaurant 3272;Downtown;American;3.6;82;41.53;5094;55453;18;166;23.802.437.546.097.900;2.1;5.0;No;26;19;779960.24
Restaurant 3273;Rural;French;3.8;45;55.86;1613;19956;17;287;9.849.357.802.180.520;4.1;7.4;No;40;29;581095.94
Restaurant 3274;Suburban;French;3.3;51;64.79;1066;16014;3;305;1.504.004.204.746.260;2.9;10.0;Yes;0;24;737654.17
Restaurant 3275;Rural;Italian;4.7;48;51.78;2147;30721;16;805;8.564.546.280.217.760;9.9;4.9;Yes;15;26;576200.89
Restaurant 3276;Downtown;Mexican;3.7;71;28.48;3200;31480;19;897;8.335.591.344.273.030;5.9;8.6;Yes;39;63;480158.48
Restaurant 3277;Suburban;Italian;3.8;70;45.5;1484;23368;13;893;22.803.183.865.580.200;3.8;1.7;No;3;19;719446.4
Restaurant 3278;Rural;Mexican;4.8;41;31.95;3972;39690;17;483;18.261.478.309.439.600;7.0;5.9;No;35;15;320835.05
Restaurant 3279;Rural;Italian;4.0;41;49.11;3738;41399;16;465;20.023.745.211.952.500;6.9;4.0;No;10;3;471654.07
Restaurant 3280;Rural;Mexican;4.1;37;34.98;3161;34934;9;137;23.304.607.081.814.700;4.1;5.7;Yes;17;8;304979.64
Restaurant 3281;Rural;Italian;4.9;41;45.38;2571;28337;12;283;11.930.873.304.043.600;9.9;2.0;No;22;6;432527.01
Restaurant 3282;Rural;Mexican;4.8;40;25.43;4271;44618;3;658;1.503.404.896.631.630;8.3;4.3;No;4;19;242605.09
Restaurant 3283;Suburban;Indian;3.3;51;40.44;1676;24910;9;579;2.017.007.722.459.050;4.6;1.7;No;38;40;471896.18
Restaurant 3284;Suburban;Italian;3.9;50;55.61;2888;37767;16;160;7.415.724.535.459.020;6.9;5.1;Yes;46;40;642252.31
Restaurant 3285;Suburban;French;4.9;53;55.31;2097;27486;5;770;2.582.635.202.988.140;7.4;5.0;No;16;31;661842.54
Restaurant 3286;Suburban;American;3.7;58;42.88;2834;29825;19;902;135.862.406.047.219;2.6;4.0;Yes;47;0;576523.37
Restaurant 3287;Downtown;Indian;3.7;76;32.44;1849;17586;13;626;21.468.824.600.870.900;8.9;9.5;No;40;72;570669.44
Restaurant 3288;Suburban;Indian;3.4;59;37.72;2211;29505;2;684;29.889.122.546.420.300;8.4;1.7;No;12;39;502513.59
Restaurant 3289;Rural;Italian;3.2;49;54.56;1015;16381;19;287;16.884.061.134.432.800;7.8;8.4;Yes;3;18;616644.67
Restaurant 3290;Rural;American;4.5;43;36.11;1893;21434;18;413;1.037.621.123.222.740;3.0;4.2;No;42;39;369309.98
Restaurant 3291;Suburban;French;4.5;50;57.63;3680;44064;12;458;10.410.834.969.546.100;2.2;2.8;Yes;29;35;657876.02
Restaurant 3292;Rural;Indian;4.9;34;30.26;2697;35716;18;684;650.940.540.464.951;2.6;3.5;No;14;33;254987.48
Restaurant 3293;Suburban;French;4.5;62;55.48;1452;21664;5;336;24.177.057.524.911.500;1.8;9.1;Yes;7;53;771019.44
Restaurant 3294;Rural;Mexican;3.5;35;25.33;2833;35289;8;267;12.335.783.502.300.600;9.5;8.4;No;5;33;218614.94
Restaurant 3295;Downtown;American;3.1;86;43.81;1639;15582;16;452;931.814.406.340.206;8.7;1.1;No;67;22;854058.23
Restaurant 3296;Downtown;Japanese;5.0;84;68.28;4868;58340;2;271;2.284.240.084.538.800;1.8;2.3;No;20;64;1276625.4
Restaurant 3297;Suburban;Mexican;3.7;56;30.43;782;16033;13;394;12.728.416.035.353.300;7.1;7.1;Yes;28;35;397973.26
Restaurant 3298;Suburban;American;3.6;57;43.67;1537;15467;1;533;20.011.723.691.609.700;3.2;3.9;Yes;9;55;556622.34
Restaurant 3299;Suburban;Italian;4.8;70;50.44;1532;22447;5;162;15.445.655.345.883.400;1.2;9.3;Yes;55;63;793191.47
Restaurant 3300;Rural;Italian;4.2;31;49.72;4128;45473;12;67;13.353.818.241.994.200;3.6;8.1;Yes;19;28;366335.57
Restaurant 3301;Suburban;French;3.4;67;55.13;1937;20849;4;501;17.235.739.888.473.900;5.0;8.9;Yes;41;46;829618.75
Restaurant 3302;Downtown;Indian;4.8;90;36.25;5471;64456;5;268;1.284.483.098.430.490;1.2;2.7;Yes;83;86;739529.05
Restaurant 3303;Rural;Japanese;5.0;36;66.37;3362;43320;11;210;26.764.122.978.562.900;3.9;2.4;Yes;24;26;548358.58
Restaurant 3304;Suburban;Italian;3.2;69;53.41;743;14643;10;119;6.826.007.610.628.100;7.3;9.4;Yes;6;22;829008.64
Restaurant 3305;Rural;American;4.7;45;37.84;2652;28355;8;56;5.753.840.623.672.610;3.1;4.6;Yes;4;22;391254.79
Restaurant 3306;Rural;Indian;3.8;48;37.42;2259;22554;9;50;15.159.825.684.587.900;5.4;4.7;No;6;20;412998.16
Restaurant 3307;Suburban;Indian;4.0;58;37.11;1058;12152;7;919;9.321.090.874.724.550;9.0;7.2;No;46;6;492433.54
Restaurant 3308;Rural;American;4.8;41;41.78;3614;40861;14;148;23.593.161.375.571.800;1.3;4.6;No;29;20;401899.89
